name,blocks,time,cpd,total_wirelength,average_net_length,estimate_distance_1,estimate_distance_2,packing_time,routing_time,placement_time,fpga_size
softmax,19456,574.88,6.65039,142235,10.7331,420875,102780,13.84,332.98,6.13,88 x 65
brainwave_like_fixed_large,,,,,,,,,,,
brainwave_like_fixed_small,14152,3803.37,8.30971,767974,46.7621,1320005,579845,14.75,2874.61,8.29,169 x 125
bnn,101971,926.91,7.70105,764140,11.6923,3094192,599598,63.21,681.96,50.17,77 x 57
reduction_layer,12416,348.17,6.76626,112157,11.1833,269808,82685,11.1,292.01,3.58,44 x 33
attention_layer,22270,2073.14,6.27024,572778,29.0559,1130163,432827,28.22,1252.08,11.62,164 x 121
spmv,10302,430.31,6.04212,228600,26.6963,378430,156062,10.14,222.46,2.75,89 x 66
conv_layer_hls,11950,15030.03,15.7067,248082,33.313,991572,215261,230.35,7133.4,9.99,482 x 357
robot_rl,16461,631.86,6.83572,150116,11.1702,362349,97160,261.14,281.18,5.14,64 x 47
conv_layer,23005,1064.88,7.80537,450535,21.9977,788090,337999,14.83,846.72,8.82,89 x 66
eltwise_layer,14103,681.37,5.51641,248575,23.1405,369524,172331,9.13,561.46,3.96,70 x 52
